OBJECTID,GEOID,ALAND,AWATER,STATEFP,COUNTYFP,TRACTCE,TRACTID,NAMELSAD,NAME,Total workers,"Workers traveling by car, truck, or van","Workers traveling by car, truck, or van - drove alone","Workers traveling by car, truck, or van - carpooled",Workers traveling by public transportation,Workers traveling by bicycle,Workers traveling by walking,Workers traveling by other means,Workers working from home,"% of workers traveling by car, truck, or van","% of workers traveling by car, truck, or van - drove alone","% of workers traveling by car, truck, or van - carpooled",% of workers traveling by public transportation,% of workers traveling by bicycle,% of workers traveling by walking,% of workers traveling by other means,% of workers working from home,Shape__Area,Shape__Length
32,99032,1000000,10000,00,000,000000,0000,State Data - New York,New York,9400000,5452000,4906800,545200,2068000,112800,573400,0,1193800,58.0,52.2,5.8,22.0,1.2,6.1,0.0,12.7,1,1
33,99033,1000000,10000,00,000,000000,0000,State Data - North Carolina,North Carolina,5200000,4316000,3884400,431600,135200,52000,119600,104000,473200,83.0,74.7,8.3,2.6,1.0,2.3,2.0,9.1,1,1
34,99034,1000000,10000,00,000,000000,0000,State Data - North Dakota,North Dakota,420000,352800,317520,35280,3360,6720,8820,0,48300,84.0,75.6,8.4,0.8,1.6,2.1,0.0,11.5,1,1
35,99035,1000000,10000,00,000,000000,0000,State Data - Ohio,Ohio,5500000,4510000,4059000,451000,143000,49500,143000,55000,599500,82.0,73.8,8.2,2.6,0.9,2.6,1.0,10.9,1,1
36,99036,1000000,10000,00,000,000000,0000,State Data - Oklahoma,Oklahoma,1700000,1445000,1300500,144500,30600,13600,28900,0,181900,85.0,76.5,8.5,1.8,0.8,1.7,0.0,10.7,1,1
37,99037,1000000,10000,00,000,000000,0000,State Data - Oregon,Oregon,2100000,1596000,1436400,159600,94500,46200,100800,0,262500,76.0,68.4,7.6,4.5,2.2,4.8,0.0,12.5,1,1
38,99038,1000000,10000,00,000,000000,0000,State Data - Pennsylvania,Pennsylvania,5600000,4424000,3981600,442400,313600,61600,173600,112000,515200,79.0,71.1,7.9,5.6,1.1,3.1,2.0,9.2,1,1
39,99039,1000000,10000,00,000,000000,0000,State Data - Rhode Island,Rhode Island,550000,429000,386100,42900,24750,8250,23650,11000,53350,78.0,70.2,7.8,4.5,1.5,4.3,2.0,9.7,1,1
40,99040,1000000,10000,00,000,000000,0000,State Data - South Carolina,South Carolina,2500000,2100000,1890000,210000,47500,20000,50000,0,282500,84.0,75.6,8.4,1.9,0.8,2.0,0.0,11.3,1,1
41,99041,1000000,10000,00,000,000000,0000,State Data - South Dakota,South Dakota,450000,373500,336150,37350,3600,6300,10350,4500,51750,83.0,74.7,8.3,0.8,1.4,2.3,1.0,11.5,1,1
42,99042,1000000,10000,00,000,000000,0000,State Data - Tennessee,Tennessee,3900000,3315000,2983500,331500,78000,31200,70200,0,405600,85.0,76.5,8.5,2.0,0.8,1.8,0.0,10.4,1,1
43,99043,1000000,10000,00,000,000000,0000,State Data - Texas,Texas,15000000,12750000,11475000,1275000,435000,135000,330000,0,1350000,85.0,76.5,8.5,2.9,0.9,2.2,0.0,9.0,1,1
44,99044,1000000,10000,00,000,000000,0000,State Data - Utah,Utah,1800000,1476000,1328400,147600,59400,18000,48600,18000,180000,82.0,73.8,8.2,3.3,1.0,2.7,1.0,10.0,1,1
45,99045,1000000,10000,00,000,000000,0000,State Data - Vermont,Vermont,320000,249600,224640,24960,7040,6080,16000,0,41280,78.0,70.2,7.8,2.2,1.9,5.0,0.0,12.9,1,1
46,99046,1000000,10000,00,000,000000,0000,State Data - Virginia,Virginia,4400000,3564000,3207600,356400,198000,44000,114400,0,479600,81.0,72.9,8.1,4.5,1.0,2.6,0.0,10.9,1,1
47,99047,1000000,10000,00,000,000000,0000,State Data - Washington,Washington,4000000,2920000,2628000,292000,300000,84000,188000,0,508000,73.0,65.7,7.3,7.5,2.1,4.7,0.0,12.7,1,1
48,99048,1000000,10000,00,000,000000,0000,State Data - West Virginia,West Virginia,700000,581000,522900,58100,8400,3500,14000,0,93100,83.0,74.7,8.3,1.2,0.5,2.0,0.0,13.3,1,1
49,99049,1000000,10000,00,000,000000,0000,State Data - Wisconsin,Wisconsin,2900000,2378000,2140200,237800,60900,46400,84100,29000,301600,82.0,73.8,8.2,2.1,1.6,2.9,1.0,10.4,1,1
50,99050,1000000,10000,00,000,000000,0000,State Data - Wyoming,Wyoming,250000,207500,186750,20750,1500,3000,6250,2500,29250,83.0,74.7,8.3,0.6,1.2,2.5,1.0,11.7,1,1
